loan_status,loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,debt_to_income_ratio,derog_pub_rec,mean_fico_scores,grade
Fully Paid,7000,36 months,6.54,214.68,6,MORTGAGE,60000,Not Verified,0,1,debt_consolidation,4.2,0,727,A
Fully Paid,18000,36 months,6.17,346.93,More than 1,MORTGAGE,140000,Verified,0,1,credit_card,7.95,0,752,A
Fully Paid,14650,36 months,12.61,490.87,More than 1,RENT,60000,Verified,0,0,debt_consolidation,6.98,0,677,C
Fully Paid,12000,60 months,12.98,272.92,10 +,RENT,110000,Verified,0,0,debt_consolidation,11.2,0,707,C
Fully Paid,5000,60 months,15.2,119.48,5,MORTGAGE,40000,Not Verified,0,0,wedding,4.89,0,667,D
Fully Paid,7000,36 months,6.54,214.68,4,MORTGAGE,37500,Verified,0,1,debt_consolidation,17.47,0,722,A
Fully Paid,15000,60 months,14.46,352.62,9,RENT,109000,Verified,0,1,debt_consolidation,5.21,0,722,D
Fully Paid,7000,36 months,9.62,224.63,6,RENT,13000,Verified,0,0,debt_consolidation,7.2,0,737,B
Fully Paid,10000,36 months,12.61,335.07,9,OWN,40800,Not Verified,0,1,moving,11.85,0,692,C
Fully Paid,10000,36 months,6.17,305,4,RENT,75000,Source Verified,0,1,debt_consolidation,6.9,0,737,A
Fully Paid,25000,36 months,9.25,797.91,10 +,MORTGAGE,75000,Verified,0,0,debt_consolidation,16.88,0,787,B
Fully Paid,18000,60 months,12.98,409.38,More than 1,MORTGAGE,54000,Verified,0,1,wedding,0.29,0,732,C
Fully Paid,5000,60 months,13.72,115.62,9,MORTGAGE,99000,Verified,0,0,renewable_energy,18.05,0,687,C
Fully Paid,5000,60 months,12.61,112.77,More than 1,RENT,50000,Not Verified,0,1,car,8.38,0,707,C
Fully Paid,20000,60 months,10.36,428.5,More than 1,RENT,92160,Verified,0,0,renewable_energy,5.65,0,767,B
Fully Paid,15000,36 months,6.54,460.01,4,RENT,54996,Verified,0,0,other,16.43,0,737,A
Fully Paid,5000,36 months,5.79,151.64,9,MORTGAGE,50000,Source Verified,0,1,debt_consolidation,2.26,0,802,A
Fully Paid,7000,36 months,9.25,223.42,More than 1,MORTGAGE,85000,Source Verified,0,1,debt_consolidation,8.8,0,702,B
Fully Paid,16800,36 months,6.91,324.55,3,MORTGAGE,121000,Source Verified,0,1,credit_card,21.49,0,732,A
Fully Paid,3150,36 months,6.17,96.08,5,MORTGAGE,58000.08,Not Verified,0,0,credit_card,5.38,0,737,A
Fully Paid,8400,60 months,14.83,199.09,5,MORTGAGE,60000,Not Verified,0,0,credit_card,18.04,0,677,D
Fully Paid,5000,36 months,9.99,161.32,4,RENT,75000,Source Verified,0,1,debt_consolidation,4.46,0,722,B
Fully Paid,12000,60 months,14.83,284.41,6,MORTGAGE,125000,Source Verified,0,1,wedding,7.52,0,697,D
Charged Off,4200,60 months,15.2,100.36,4,RENT,65000,Source Verified,0,1,car,4.62,0,702,D
Fully Paid,1800,36 months,12.98,60.64,8,MORTGAGE,52000,Not Verified,0,1,debt_consolidation,8.91,0,702,C
Fully Paid,6000,36 months,6.54,184.01,2,RENT,30000,Verified,0,1,debt_consolidation,6.8,0,742,A
Charged Off,16000,60 months,12.23,357.78,7,MORTGAGE,39996,Verified,0,0,debt_consolidation,18.69,0,717,C
Fully Paid,1000,36 months,10.36,32.44,7,OWN,10560,Source Verified,0,0,major_purchase,13.18,0,732,B
Fully Paid,20000,36 months,15.95,702.65,3,MORTGAGE,95500,Verified,0,1,debt_consolidation,8.17,0,707,E
Fully Paid,20000,36 months,6.54,372.61,3,RENT,62000,Verified,0,1,credit_card,18.02,0,752,A
Fully Paid,4750,36 months,12.23,158.3,3,MORTGAGE,45600,Not Verified,0,1,major_purchase,15.55,1,677,C
Fully Paid,6000,36 months,10.36,194.62,4,RENT,36000,Verified,0,1,debt_consolidation,17.7,0,697,B
Fully Paid,17000,36 months,8.88,539.65,8,OWN,110000,Not Verified,0,1,debt_consolidation,10.64,0,717,B
Fully Paid,20000,36 months,6.54,387.95,10 +,MORTGAGE,105000,Verified,0,1,debt_consolidation,10.82,0,757,A
Fully Paid,8400,60 months,9.25,175.4,3,MORTGAGE,58000,Not Verified,0,1,car,22.47,0,762,B
Charged Off,21000,60 months,9.99,446.09,6,MORTGAGE,93000,Verified,0,1,home_improvement,8.1,0,747,B
Fully Paid,5000,36 months,9.99,161.32,10 +,RENT,48000,Source Verified,0,0,debt_consolidation,20.77,0,777,B
Fully Paid,6250,36 months,5.79,189.55,unknown,MORTGAGE,15600,Not Verified,0,1,debt_consolidation,15,0,747,A
Fully Paid,15000,36 months,6.54,460.01,10 +,MORTGAGE,74400,Source Verified,0,1,debt_consolidation,2.31,0,782,A
Fully Paid,25000,60 months,16.69,617.16,7,MORTGAGE,125000,Source Verified,0,1,debt_consolidation,14.44,0,702,E
Fully Paid,7000,36 months,9.99,225.84,3,OWN,30000,Not Verified,0,1,debt_consolidation,15.68,0,687,B
Charged Off,4000,60 months,12.98,90.98,3,MORTGAGE,35004,Verified,0,1,debt_consolidation,6.68,0,722,C
Fully Paid,12000,36 months,10.36,389.24,7,RENT,50400,Source Verified,0,1,debt_consolidation,19.29,0,697,B
Fully Paid,3500,36 months,13.35,118.52,2,RENT,18456,Verified,0,1,debt_consolidation,23.93,0,682,C
Fully Paid,5000,36 months,6.54,153.34,3,RENT,17004,Source Verified,0,1,debt_consolidation,3.81,0,732,A
Fully Paid,7000,60 months,12.98,159.2,2,RENT,36188,Verified,0,1,debt_consolidation,10.91,0,697,C
Fully Paid,7500,36 months,6.17,228.75,3,RENT,60000,Not Verified,0,1,credit_card,4.34,0,737,A
Fully Paid,15000,36 months,6.91,462.54,10 +,MORTGAGE,105201,Verified,0,1,credit_card,20.68,0,722,A
Fully Paid,3600,36 months,5.79,109.18,unknown,MORTGAGE,44000,Not Verified,0,0,car,17.04,0,757,A
Charged Off,22500,36 months,6.54,443.91,3,MORTGAGE,50000,Verified,0,1,debt_consolidation,14.78,0,752,A
Fully Paid,20000,36 months,6.54,397.15,unknown,RENT,75000,Verified,0,1,major_purchase,13.71,0,772,A
Fully Paid,25000,60 months,17.43,412.64,More than 1,MORTGAGE,100000,Source Verified,0,1,credit_card,18.49,0,692,E
Fully Paid,12000,36 months,14.46,412.82,10 +,MORTGAGE,202040,Verified,0,1,home_improvement,9.76,0,662,D
Charged Off,1200,36 months,10.36,38.93,3,RENT,15000,Verified,0,0,debt_consolidation,24.8,0,687,B
Fully Paid,25000,60 months,12.98,344.56,4,MORTGAGE,103000,Not Verified,0,1,debt_consolidation,21.72,0,752,C
Charged Off,6000,36 months,9.25,191.5,10 +,MORTGAGE,45996,Not Verified,0,0,debt_consolidation,18.86,0,707,B
Fully Paid,5000,36 months,6.54,153.34,More than 1,RENT,57500,Not Verified,0,1,credit_card,19.33,0,742,A
Fully Paid,6300,60 months,13.72,145.68,3,MORTGAGE,50728,Verified,0,1,debt_consolidation,8.59,0,682,C
Fully Paid,8400,60 months,10.36,129.62,4,RENT,84600,Not Verified,0,1,debt_consolidation,11.84,0,727,B
Fully Paid,1400,36 months,14.83,48.42,8,MORTGAGE,54000,Not Verified,0,0,debt_consolidation,23.96,0,682,D
Fully Paid,13000,36 months,6.91,245.92,10 +,OWN,70000,Verified,0,0,debt_consolidation,6.29,0,727,A
Fully Paid,4000,36 months,10.36,129.75,More than 1,RENT,30000,Not Verified,0,0,other,24,0,682,B
Fully Paid,10500,36 months,5.79,318.44,More than 1,MORTGAGE,55000,Source Verified,0,1,debt_consolidation,13.09,0,752,A
Fully Paid,8000,36 months,10.36,259.5,10 +,MORTGAGE,90000,Not Verified,0,1,small_business,17.12,0,687,B
Fully Paid,15000,36 months,14.83,518.74,2,MORTGAGE,60000,Not Verified,0,1,debt_consolidation,15.56,0,672,D
Fully Paid,10200,36 months,6.91,195.81,6,MORTGAGE,70000,Not Verified,0,0,debt_consolidation,7.9,0,722,A
Charged Off,6250,60 months,10.36,133.91,10 +,MORTGAGE,52000,Source Verified,0,0,car,10.15,0,712,B
Fully Paid,10950,36 months,6.91,207.38,10 +,RENT,47230,Not Verified,0,1,credit_card,13.34,0,722,A
Fully Paid,12000,60 months,5.79,230.83,10 +,MORTGAGE,50000,Not Verified,0,0,debt_consolidation,22.13,0,782,A
Fully Paid,2000,36 months,6.91,61.68,10 +,OWN,15000,Not Verified,0,1,major_purchase,6.88,0,717,A
Fully Paid,2000,36 months,8.88,63.49,2,RENT,102400,Source Verified,0,1,vacation,9.29,0,747,B
Fully Paid,16500,36 months,6.54,339.64,10 +,OWN,138000,Verified,0,0,major_purchase,4.5,0,752,A
Charged Off,12800,60 months,12.61,288.7,5,RENT,62000,Verified,0,0,debt_consolidation,9.02,0,727,C
Fully Paid,8000,36 months,13.35,270.91,More than 1,MORTGAGE,34000,Verified,0,0,credit_card,16.62,2,672,C
Fully Paid,25000,36 months,10.36,491.42,2,MORTGAGE,66887,Verified,0,1,debt_consolidation,11.89,0,732,B
Fully Paid,7500,36 months,6.17,228.75,10 +,MORTGAGE,110000,Verified,0,1,car,2.4,0,767,A
Fully Paid,4800,60 months,13.35,110.08,10 +,RENT,30000,Verified,0,0,vacation,12.28,0,697,C
Fully Paid,5500,36 months,5.79,166.8,unknown,RENT,21000,Verified,0,1,other,13.77,0,762,A
Fully Paid,25000,36 months,13.72,576.16,10 +,MORTGAGE,120000,Verified,0,1,home_improvement,3.77,0,722,C
Fully Paid,5500,36 months,10.36,178.41,5,RENT,24000,Verified,0,1,vacation,23.6,0,702,B
Fully Paid,15800,60 months,9.99,204.99,8,MORTGAGE,68640,Not Verified,0,1,debt_consolidation,9.28,0,737,B
Fully Paid,14000,60 months,13.35,196.65,More than 1,MORTGAGE,133000,Not Verified,0,0,home_improvement,10.3,0,702,C
Fully Paid,9000,36 months,6.54,172.51,3,MORTGAGE,37017,Not Verified,0,0,major_purchase,24.28,0,727,A
Fully Paid,9250,36 months,5.79,181.21,2,MORTGAGE,60000,Not Verified,0,0,credit_card,8.14,0,782,A
Fully Paid,8000,36 months,9.99,258.1,2,OWN,24996,Source Verified,0,0,other,15.65,0,722,B
Fully Paid,13000,36 months,6.17,241.71,More than 1,RENT,49000,Verified,0,0,debt_consolidation,4.68,0,767,A
Charged Off,12000,60 months,9.99,161.45,7,MORTGAGE,52800,Source Verified,0,0,debt_consolidation,19.16,0,727,B
Charged Off,2800,36 months,6.54,85.87,5,RENT,14400,Source Verified,0,1,debt_consolidation,10.92,0,727,A
Fully Paid,8000,36 months,5.79,242.62,3,OWN,70000,Not Verified,0,1,home_improvement,19.65,0,772,A
Fully Paid,6250,36 months,6.54,134.94,More than 1,OWN,18000,Source Verified,0,1,debt_consolidation,23.73,0,727,A
Fully Paid,5500,36 months,8.88,174.6,unknown,RENT,30000,Source Verified,0,1,car,9.76,0,732,B
Fully Paid,25000,60 months,12.98,342.85,unknown,MORTGAGE,51600,Verified,0,1,major_purchase,4.16,0,767,C
Charged Off,22000,60 months,12.23,297.4,6,MORTGAGE,70000,Source Verified,0,1,debt_consolidation,5.21,0,727,C
Fully Paid,3600,36 months,6.91,111.01,More than 1,RENT,45000,Not Verified,0,1,credit_card,2.35,0,732,A
Fully Paid,12000,36 months,12.61,402.08,unknown,OWN,65000,Verified,0,0,major_purchase,1.38,0,697,C
Fully Paid,10000,36 months,12.61,335.07,10 +,RENT,70800,Source Verified,0,1,debt_consolidation,3.56,0,692,C
Fully Paid,24000,36 months,9.25,466.78,unknown,MORTGAGE,81120,Verified,0,1,debt_consolidation,14.76,0,732,B
Charged Off,13000,60 months,10.36,211.04,unknown,MORTGAGE,65000,Verified,0,1,debt_consolidation,23.46,0,732,B
Fully Paid,5000,36 months,10.36,162.19,3,OWN,35412,Not Verified,0,1,medical,7.05,0,682,B
Fully Paid,6000,36 months,9.99,193.58,8,MORTGAGE,90996,Not Verified,0,1,other,19.95,0,702,B
Fully Paid,7000,36 months,5.42,211.12,5,MORTGAGE,35004,Verified,0,1,debt_consolidation,11.38,0,787,A
Fully Paid,5000,36 months,13.72,170.21,3,RENT,14400,Source Verified,0,0,debt_consolidation,10.17,0,687,C
Fully Paid,5000,36 months,9.62,160.45,2,MORTGAGE,100000,Verified,0,1,home_improvement,0,0,737,B
Fully Paid,14000,36 months,10.36,336.53,2,MORTGAGE,59000,Source Verified,0,1,debt_consolidation,18.33,0,692,B
Fully Paid,25000,60 months,14.83,370.92,More than 1,MORTGAGE,60000,Verified,0,1,debt_consolidation,15.9,0,717,D
Charged Off,13775,36 months,12.98,464.01,6,RENT,32878,Verified,0,1,debt_consolidation,15,0,692,C
Fully Paid,10000,60 months,15.57,240.91,10 +,MORTGAGE,95000,Source Verified,0,1,other,17.31,0,672,D
Fully Paid,8000,36 months,5.79,150.88,More than 1,MORTGAGE,64000,Source Verified,0,1,debt_consolidation,4.03,0,767,A
Fully Paid,12000,60 months,10.36,203.54,4,RENT,49000,Not Verified,0,1,credit_card,24.34,0,722,B
Fully Paid,25000,60 months,20.03,405.62,9,MORTGAGE,120000,Source Verified,0,0,small_business,9.46,0,672,G
Fully Paid,8500,60 months,9.99,180.56,5,MORTGAGE,43200,Verified,0,0,debt_consolidation,13.53,0,732,B
Fully Paid,20000,60 months,6.91,395.18,7,MORTGAGE,90792,Verified,0,0,debt_consolidation,9,0,762,A
Fully Paid,4000,36 months,15.2,139.06,More than 1,RENT,18000,Not Verified,0,1,major_purchase,3.2,0,682,D
Fully Paid,20000,36 months,6.54,371.08,3,RENT,65000,Verified,0,1,debt_consolidation,13.26,0,752,A
Fully Paid,8500,36 months,5.79,166.8,2,RENT,53000,Not Verified,0,1,debt_consolidation,22.03,0,752,A
Fully Paid,10000,36 months,6.54,189.38,2,MORTGAGE,80000,Not Verified,0,1,debt_consolidation,17,0,727,A
Fully Paid,25000,60 months,16.32,371.62,4,MORTGAGE,85000,Verified,0,1,debt_consolidation,22.19,0,707,E
Fully Paid,24000,60 months,9.99,309.61,10 +,MORTGAGE,97000,Verified,0,1,debt_consolidation,8.08,0,767,B
Fully Paid,16000,60 months,12.23,256.04,2,RENT,87500,Source Verified,0,1,debt_consolidation,6.76,0,742,C
Fully Paid,8000,36 months,5.79,175.9,3,RENT,60000,Source Verified,0,1,wedding,4.8,0,787,A
Fully Paid,20000,60 months,18.54,414.87,8,RENT,69000,Verified,0,1,credit_card,14.33,0,677,F
Fully Paid,2500,36 months,6.91,77.09,More than 1,RENT,16800,Source Verified,0,0,home_improvement,24.79,0,767,A
Fully Paid,1200,36 months,9.62,38.51,2,RENT,30000,Verified,0,0,other,13.56,0,692,B
Fully Paid,7000,36 months,12.98,235.8,2,MORTGAGE,51600,Source Verified,0,0,other,13.51,0,687,C
Fully Paid,25000,60 months,14.46,587.69,10 +,MORTGAGE,67000,Verified,0,0,debt_consolidation,10.71,0,722,D
Fully Paid,20000,36 months,6.54,383.35,3,MORTGAGE,219996,Verified,0,1,other,9.23,0,762,A
Fully Paid,4000,36 months,9.25,127.67,3,MORTGAGE,85000,Not Verified,0,1,debt_consolidation,16.16,0,702,B
Charged Off,20000,60 months,15.57,356.54,More than 1,RENT,45600,Verified,0,1,debt_consolidation,13.97,0,707,D
Fully Paid,25000,36 months,12.23,734.81,3,RENT,50004,Verified,0,0,other,14.57,0,722,C
Fully Paid,6000,36 months,6.17,157.07,4,RENT,70000,Verified,0,0,debt_consolidation,22.73,0,742,A
Fully Paid,15000,36 months,13.72,510.63,3,RENT,45000,Source Verified,0,1,credit_card,12.64,0,692,C
Fully Paid,20000,36 months,6.54,373.38,2,MORTGAGE,82000,Verified,0,1,debt_consolidation,15.22,0,762,A
Fully Paid,8400,36 months,5.79,185,3,RENT,52000,Source Verified,0,1,debt_consolidation,15.32,0,747,A
Fully Paid,6000,36 months,6.91,185.02,2,MORTGAGE,78000,Verified,0,1,car,14.54,0,767,A
Fully Paid,6500,36 months,9.25,207.46,3,RENT,60000,Source Verified,0,0,wedding,6.44,0,702,B
Charged Off,5000,36 months,12.23,166.63,2,RENT,45000,Source Verified,0,1,credit_card,16.27,0,682,C
Fully Paid,5500,36 months,14.46,189.21,5,RENT,20400,Not Verified,0,0,wedding,20.82,0,687,D
Fully Paid,18000,36 months,6.17,342.36,3,RENT,42000,Source Verified,0,0,debt_consolidation,14.29,0,792,A
Fully Paid,25000,60 months,13.72,348.59,2,RENT,72300,Verified,0,0,small_business,6.54,0,742,C
Fully Paid,10000,36 months,6.17,305,10 +,MORTGAGE,120000,Verified,0,0,other,1.55,0,772,A
Fully Paid,18000,60 months,10.36,241.57,2,RENT,57000,Source Verified,0,0,credit_card,21.68,1,727,B
Fully Paid,2000,36 months,6.17,61,3,RENT,19200,Verified,0,1,major_purchase,2.63,0,747,A
Fully Paid,3000,36 months,12.98,101.06,More than 1,OWN,44340,Not Verified,0,1,other,8.55,0,692,C
Fully Paid,15000,60 months,9.99,212.96,3,MORTGAGE,136400,Source Verified,0,1,debt_consolidation,13.65,0,737,B
Fully Paid,1500,36 months,9.62,48.14,9,OWN,35004,Source Verified,0,0,other,14.06,0,732,B
Fully Paid,3000,36 months,10.36,97.31,unknown,RENT,93600,Source Verified,0,1,other,21.28,0,682,B
Fully Paid,5000,36 months,9.25,159.59,3,MORTGAGE,29004,Verified,0,1,debt_consolidation,4.96,0,702,B
Fully Paid,5000,60 months,10.36,107.13,4,RENT,45000,Source Verified,0,1,car,19.01,0,717,B
Fully Paid,20000,36 months,6.54,368.01,10 +,MORTGAGE,155000,Verified,0,1,major_purchase,2.13,0,762,A
Fully Paid,20000,60 months,12.98,454.86,4,MORTGAGE,64800,Verified,0,0,credit_card,12.61,0,727,C
Fully Paid,12000,36 months,6.91,225.88,7,OWN,60000,Source Verified,0,1,credit_card,24.06,0,712,A
Fully Paid,6000,36 months,6.91,185.02,10 +,MORTGAGE,60000,Verified,0,0,debt_consolidation,11.66,0,747,A
Fully Paid,8400,36 months,18.54,305.97,unknown,RENT,54000,Verified,0,1,debt_consolidation,19.51,0,662,F
Fully Paid,6725,36 months,8.88,213.48,unknown,RENT,29000,Verified,0,0,debt_consolidation,6.62,0,752,B
Fully Paid,7200,60 months,12.61,162.39,3,RENT,38000,Not Verified,0,1,credit_card,9.06,0,722,C
Fully Paid,20000,36 months,6.17,369.04,unknown,MORTGAGE,100000,Verified,0,1,major_purchase,0.41,0,772,A
Fully Paid,18000,36 months,9.25,348.69,5,RENT,48000,Verified,0,1,wedding,21.1,0,752,B
Fully Paid,10800,36 months,8.88,342.84,2,RENT,36480,Not Verified,0,1,debt_consolidation,4.47,0,737,B
Fully Paid,8400,36 months,12.98,282.95,8,OWN,51996,Verified,0,1,debt_consolidation,15.26,0,672,C
Fully Paid,18000,60 months,6.54,213.48,10 +,MORTGAGE,59200,Verified,0,1,debt_consolidation,14.31,0,762,A
Fully Paid,4200,36 months,5.79,127.38,10 +,MORTGAGE,66560,Not Verified,0,1,car,7.57,0,762,A
Fully Paid,1600,36 months,9.62,51.35,10 +,MORTGAGE,36900,Not Verified,0,0,home_improvement,4.1,0,722,B
Fully Paid,21000,60 months,9.62,278.53,8,RENT,100200,Verified,0,1,house,0.32,0,782,B
Charged Off,18000,60 months,19.29,469.81,5,MORTGAGE,60000,Source Verified,0,1,debt_consolidation,13.38,0,677,F
Fully Paid,14000,60 months,17.8,270.55,10 +,MORTGAGE,65004,Source Verified,0,1,major_purchase,18.88,0,667,F
Fully Paid,16000,60 months,9.99,213.49,2,MORTGAGE,52250,Not Verified,0,1,debt_consolidation,7.37,0,737,B
Fully Paid,7300,36 months,6.91,225.11,unknown,RENT,38000,Source Verified,0,1,debt_consolidation,6.28,0,717,A
Fully Paid,9500,60 months,16.32,232.64,10 +,MORTGAGE,91362,Verified,0,1,credit_card,13.71,1,672,E
Fully Paid,5700,36 months,6.91,175.77,3,MORTGAGE,45000,Not Verified,0,0,credit_card,7.57,0,747,A
Fully Paid,20000,36 months,8.88,486.48,10 +,MORTGAGE,94200,Source Verified,0,1,debt_consolidation,7.8,0,737,B
Fully Paid,12000,36 months,9.99,387.15,10 +,MORTGAGE,96000,Not Verified,0,1,credit_card,14.9,0,707,B
Fully Paid,4500,36 months,9.62,144.41,2,RENT,23916,Source Verified,0,0,debt_consolidation,12.69,0,707,B
Fully Paid,5000,36 months,6.17,152.5,unknown,RENT,40000,Not Verified,0,1,credit_card,2.67,0,752,A
Fully Paid,12800,36 months,15.2,444.98,10 +,RENT,65000,Not Verified,0,0,debt_consolidation,10.02,0,667,D
Charged Off,14600,36 months,12.61,489.2,unknown,OWN,36000,Source Verified,0,1,debt_consolidation,16.17,0,682,C
Fully Paid,12000,36 months,8.88,369.82,4,RENT,84300,Not Verified,0,1,credit_card,8.5,0,722,B
Fully Paid,10000,36 months,9.99,322.63,3,RENT,47200,Verified,0,1,small_business,9.05,0,747,B
Fully Paid,12800,36 months,5.79,248.69,More than 1,MORTGAGE,50000,Not Verified,0,1,small_business,4.99,0,772,A
Fully Paid,1000,36 months,10.36,32.44,More than 1,MORTGAGE,21600,Source Verified,0,0,renewable_energy,0,0,732,B
Fully Paid,15000,60 months,9.25,313.2,4,MORTGAGE,85000,Source Verified,0,1,home_improvement,0.56,0,787,B
Fully Paid,2000,36 months,9.99,64.53,10 +,MORTGAGE,120000,Source Verified,0,0,renewable_energy,18.21,0,722,B
Fully Paid,16000,60 months,6.91,190.68,10 +,MORTGAGE,55000,Not Verified,0,0,credit_card,6.7,0,762,A
Charged Off,9600,60 months,17.43,240.81,8,MORTGAGE,120000,Verified,0,1,credit_card,10.3,0,687,E
Fully Paid,10000,36 months,12.61,335.07,5,MORTGAGE,90000,Not Verified,0,1,credit_card,12.39,0,687,C
Fully Paid,18250,60 months,16.69,360.42,6,MORTGAGE,60000,Not Verified,0,1,debt_consolidation,14.78,0,697,E
Fully Paid,1350,36 months,5.42,40.72,More than 1,RENT,42000,Source Verified,0,1,credit_card,11.89,0,772,A
Fully Paid,15000,60 months,6.54,199.77,3,RENT,54000,Verified,0,1,debt_consolidation,22.24,0,767,A
Fully Paid,9600,36 months,9.62,308.06,2,MORTGAGE,55000,Verified,0,1,credit_card,9.19,0,702,B
Fully Paid,20000,36 months,16.32,461.75,10 +,MORTGAGE,90996,Not Verified,0,1,major_purchase,9.02,0,672,E
Fully Paid,20000,36 months,6.54,377.98,9,RENT,90000,Source Verified,0,1,credit_card,4.07,0,757,A
Charged Off,5000,36 months,12.23,166.63,2,MORTGAGE,50000,Not Verified,0,1,credit_card,4.9,0,687,C
Fully Paid,3300,60 months,15.57,79.5,3,MORTGAGE,47000,Not Verified,0,0,debt_consolidation,16.95,0,677,D
Fully Paid,3900,60 months,15.2,93.2,unknown,RENT,16800,Source Verified,0,1,car,17.5,0,712,D
Fully Paid,20000,36 months,6.54,404.05,3,MORTGAGE,76000,Verified,0,1,credit_card,16.56,0,782,A
Fully Paid,4200,60 months,12.23,93.92,5,RENT,50000,Source Verified,0,1,wedding,19.13,0,727,C
Fully Paid,3000,60 months,9.99,63.73,3,MORTGAGE,45000,Not Verified,0,0,other,19.49,0,727,B
Fully Paid,8600,36 months,14.09,294.31,8,MORTGAGE,46000,Not Verified,0,0,debt_consolidation,17.48,0,672,D
Fully Paid,12000,36 months,6.54,288.28,3,MORTGAGE,106000,Not Verified,0,0,home_improvement,0.88,0,777,A
Charged Off,12000,60 months,13.72,277.49,7,MORTGAGE,60000,Source Verified,0,0,home_improvement,8.78,1,702,C
Fully Paid,12925,36 months,6.54,354.21,10 +,MORTGAGE,92000,Verified,0,0,debt_consolidation,13.15,0,732,A
Fully Paid,22000,36 months,13.72,748.92,5,MORTGAGE,120000,Verified,0,1,credit_card,12.16,0,702,C
Fully Paid,6000,36 months,8.88,190.47,10 +,OWN,36000,Source Verified,0,1,debt_consolidation,3.6,0,727,B
Fully Paid,6000,36 months,14.09,205.33,10 +,RENT,33996,Verified,0,1,debt_consolidation,20.26,0,692,D
Fully Paid,18000,60 months,9.62,244.83,7,RENT,70000,Not Verified,0,1,debt_consolidation,19.9,0,747,B
Fully Paid,4400,60 months,12.61,99.24,2,RENT,24000,Not Verified,0,0,debt_consolidation,23.6,0,717,C
Fully Paid,4500,60 months,12.61,101.5,7,RENT,40000,Source Verified,0,1,debt_consolidation,23.25,1,707,C
Charged Off,3600,36 months,9.62,115.53,unknown,RENT,12000,Source Verified,0,1,medical,7,1,727,B
Fully Paid,11200,36 months,9.99,361.34,2,RENT,34900,Verified,0,1,credit_card,15.82,0,712,B
Charged Off,3000,36 months,9.62,96.27,4,RENT,50000,Not Verified,0,0,small_business,19.92,0,697,B
Fully Paid,1200,36 months,9.62,38.51,unknown,RENT,19200,Not Verified,0,1,other,10.19,0,697,B
Fully Paid,20000,36 months,6.17,373.62,More than 1,MORTGAGE,50000,Verified,0,1,credit_card,14.14,0,787,A
Fully Paid,21600,36 months,6.91,407.81,10 +,MORTGAGE,128000,Source Verified,0,1,debt_consolidation,14.97,0,742,A
Fully Paid,12000,36 months,12.61,402.08,8,OWN,63996,Verified,0,1,other,17.53,0,677,C
Charged Off,1800,36 months,8.88,57.14,unknown,MORTGAGE,68400,Verified,0,1,vacation,24.56,1,712,B
Fully Paid,3500,36 months,9.25,111.71,5,RENT,54084,Not Verified,0,0,major_purchase,8.01,0,717,B
Fully Paid,3250,60 months,9.25,67.86,2,RENT,7200,Source Verified,0,1,debt_consolidation,13.5,0,747,B
Fully Paid,2100,60 months,15.57,50.59,3,RENT,12996,Verified,0,1,other,20.96,0,682,D
Fully Paid,2100,36 months,6.91,64.76,unknown,OWN,32000,Source Verified,0,1,major_purchase,6.45,0,757,A
Fully Paid,6000,36 months,8.88,190.47,More than 1,RENT,50000,Source Verified,0,0,wedding,12.86,0,707,B
Fully Paid,25000,60 months,20.77,673.11,10 +,MORTGAGE,72000,Verified,0,1,home_improvement,19.12,0,667,G
Fully Paid,8000,60 months,14.83,189.61,More than 1,RENT,31200,Source Verified,0,0,credit_card,10.88,0,692,D
Fully Paid,10000,36 months,6.54,191.68,8,RENT,44000,Not Verified,0,0,major_purchase,2.05,0,727,A
Fully Paid,14000,60 months,6.91,168.94,8,MORTGAGE,70000,Source Verified,0,1,debt_consolidation,12.7,0,737,A
Fully Paid,20000,60 months,9.62,364.88,10 +,MORTGAGE,129000,Verified,0,1,small_business,9.39,0,782,B
Fully Paid,20000,36 months,6.54,377.21,4,MORTGAGE,60000,Verified,0,1,major_purchase,0,0,777,A
Fully Paid,15000,36 months,13.72,510.63,3,RENT,50004,Source Verified,0,0,debt_consolidation,7.94,0,687,C
Fully Paid,4000,36 months,5.42,120.64,7,MORTGAGE,120000,Verified,0,1,debt_consolidation,5.89,0,782,A
Fully Paid,10000,36 months,5.42,301.6,2,MORTGAGE,32400,Not Verified,0,1,debt_consolidation,13.11,0,782,A
Fully Paid,5500,36 months,12.98,185.27,2,MORTGAGE,28900,Not Verified,0,1,debt_consolidation,8.64,0,672,C
Fully Paid,2800,36 months,6.54,85.87,More than 1,RENT,30000,Verified,0,0,other,2.08,0,757,A
Fully Paid,15000,36 months,12.61,502.6,More than 1,RENT,56496,Verified,0,0,debt_consolidation,6.33,0,712,C
Fully Paid,15000,36 months,6.91,287.55,4,MORTGAGE,118500,Source Verified,0,1,debt_consolidation,5.78,0,727,A
Fully Paid,5000,36 months,6.91,154.18,7,MORTGAGE,110000,Not Verified,0,1,debt_consolidation,12.75,0,717,A
Fully Paid,2000,36 months,10.36,64.88,9,RENT,42000,Not Verified,0,0,major_purchase,21.14,0,707,B
Fully Paid,14000,36 months,6.54,47.54,More than 1,RENT,55260,Not Verified,0,1,debt_consolidation,15.14,0,737,A
